case_id,query_id,error_type,retrieved_top1,expected_evidence,root_cause,fix_action,status
bc_001,q_rag_001,retrieved_right_not_cited,interview_rag_001_c001,interview_rag_001_c001,"Retriever found the metric definition but answer template cited a neighboring chunk without direct support","Require citation id to overlap accepted evidence before answer is marked supported",fixed
bc_002,q_recsys_002,wrong_document_retrieved,jd_recsys_001_c001,project_recsys_001_c003,"Query contains Two-Tower and Recall@50; BM25 over-weighted JD requirements instead of experiment notes","Boost project_note source type for experiment-result queries and add reranker feature for numeric overlap",fixed
bc_003,q_ecom_001,skill_entity_ambiguity,jd_search_002_c001,project_ecom_001_c002,"Hard negative appears in both general retrieval JD and ecommerce project notes","Add ecommerce/SKU intent tags and require category-specific evidence for project-detail questions",fixed
bc_004,q_rag_002,insufficient_evidence_forced_answer,project_rag_001_c006,project_rag_001_c004,"The pipeline chunk was related but did not explain why chunk size 500 was selected","Add refusal threshold when top evidence lacks chunking or ablation tags",fixed
bc_005,q_recsys_001,synonym_mismatch,jd_recsys_001_c001,interview_recsys_002_c002,"User asked random split vs time split; dense route matched recommendation role but missed leakage explanation","Add query rewrite terms: future information, popularity leakage, validation day",open
bc_006,q_rag_003,metric_name_collision,interview_rag_001_c001,project_rag_001_c006,"Query asked which pipeline reached 0.77, but metric-definition chunk ranked above experiment-result chunk","Add numeric overlap and run_id matching in reranker",fixed
bc_007,q_ecom_001,generic_search_intent,jd_search_002_c001,project_ecom_001_c002,"Query mentioned retrieval and hard negative; general search JD matched before project evidence","Use intent classifier to boost project_evidence queries",open
bc_008,q_rag_002,chunk_too_short,project_rag_001_c004,project_rag_001_c004,"Short chunks split the chunk-size reason from the metric conclusion","Use 500-token chunk with 100 overlap for final protocol",fixed
bc_009,q_recsys_002,numeric_evidence_missing,project_recsys_001_c003,project_recsys_001_c003,"Answer mentioned improvement but omitted 0.112 to 0.126 evidence","Require numeric fields when query asks improvement source",fixed
bc_010,q_rag_001,unsupported_answer_risk,jd_search_002_c001,interview_rag_001_c001,"Top evidence was related to retrieval but did not define citation hit rate","Add evidence-sufficiency threshold and refuse when metric definition is absent",fixed
